"","ensembl_transcript_id","ensembl_gene_id","mgi_symbol","chromosome_name","transcript_biotype","transcript_start","transcript_end","transcript_count","feature_symbol","feature_id"
"1461","ENSMUST00000114251","ENSMUSG00000015090","Ptgds","2","protein_coding",25466709,25470046,5,"Ptgds","ENSMUSG00000015090"
"1462","ENSMUST00000015236","ENSMUSG00000015092","Edf1","2","protein_coding",25557847,25562082,5,"Edf1","ENSMUSG00000015092"
"1463","ENSMUST00000114265","ENSMUSG00000015093","Clic3","2","protein_coding",25456838,25458776,6,"Clic3","ENSMUSG00000015093"
"1464","ENSMUST00000071442","ENSMUSG00000015094","Npdc1","2","protein_coding",25403071,25409494,14,"Npdc1","ENSMUSG00000015094"
"1465","ENSMUST00000015239","ENSMUSG00000015095","Fbxw5","2","protein_coding",25500750,25505471,9,"Fbxw5","ENSMUSG00000015095"
"1466","ENSMUST00000015256","ENSMUSG00000015112","Slc25a13","6","protein_coding",6041218,6217118,5,"Slc25a13","ENSMUSG00000015112"
"1467","ENSMUST00000049911","ENSMUSG00000015120","Ube2i","17","protein_coding",25261916,25274310,14,"Ube2i","ENSMUSG00000015120"
"1468","ENSMUST00000063574","ENSMUSG00000015126","Tsr3","17","protein_coding",25240170,25242798,1,"Tsr3","ENSMUSG00000015126"
"1469","ENSMUST00000039734","ENSMUSG00000015127","Unkl","17","protein_coding",25188397,25234443,7,"Unkl","ENSMUSG00000015127"
"1470","ENSMUST00000167705","ENSMUSG00000015133","Lrrk1","7","processed_transcript",66226912,66262470,7,"Lrrk1","ENSMUSG00000015133"
"1471","ENSMUST00000015278","ENSMUSG00000015134","Aldh1a3","7","protein_coding",66390890,66427517,5,"Aldh1a3","ENSMUSG00000015134"
"1472","ENSMUST00000021554","ENSMUSG00000015143","Actn1","12","protein_coding",80167547,80260371,7,"Actn1","ENSMUSG00000015143"
"1473","ENSMUST00000122915","ENSMUSG00000015149","Sirt2","7","protein_coding",28766735,28788660,10,"Sirt2","ENSMUSG00000015149"
"1474","ENSMUST00000174548","ENSMUSG00000015165","Hnrnpl","7","protein_coding",28808541,28822266,13,"Hnrnpl","ENSMUSG00000015165"
"1475","ENSMUST00000223741","ENSMUSG00000015176","Nolc1","19","protein_coding",46075880,46080030,9,"Nolc1","ENSMUSG00000015176"
"1476","ENSMUST00000015333","ENSMUSG00000015189","Casd1","6","protein_coding",4600839,4643355,5,"Casd1","ENSMUSG00000015189"
"1477","ENSMUST00000015346","ENSMUSG00000015202","Cnksr3","10","protein_coding",7119063,7212237,2,"Cnksr3","ENSMUSG00000015202"
"1478","ENSMUST00000146213","ENSMUSG00000015214","Mtmr1","X","protein_coding",71364760,71388756,10,"Mtmr1","ENSMUSG00000015214"
"1479","ENSMUST00000072699","ENSMUSG00000015217","Hmgb3","X","protein_coding",71555918,71560676,6,"Hmgb3","ENSMUSG00000015217"
"1480","ENSMUST00000156636","ENSMUSG00000015222","Map2","1","protein_coding",66175273,66380617,24,"Map2","ENSMUSG00000015222"
"1481","ENSMUST00000055693","ENSMUSG00000015224","Cyp2j9","4","protein_coding",96568429,96591578,2,"Cyp2j9","ENSMUSG00000015224"
"1482","ENSMUST00000030010","ENSMUSG00000015243","Abca1","4","protein_coding",53030787,53159895,2,"Abca1","ENSMUSG00000015243"
"1483","ENSMUST00000015391","ENSMUSG00000015247","Nipsnap3b","4","protein_coding",53011880,53022060,3,"Nipsnap3b","ENSMUSG00000015247"
"1484","ENSMUST00000114153","ENSMUSG00000015289","Lage3","X","protein_coding",74351276,74353594,3,"Lage3","ENSMUSG00000015289"
"1485","ENSMUST00000155676","ENSMUSG00000015290","Ubl4a","X","protein_coding",74365718,74368673,7,"Ubl4a","ENSMUSG00000015290"
"1486","ENSMUST00000015435","ENSMUSG00000015291","Gdi1","X","protein_coding",74304998,74311862,10,"Gdi1","ENSMUSG00000015291"
"1487","ENSMUST00000015449","ENSMUSG00000015305","Sash1","10","protein_coding",8722219,8886070,4,"Sash1","ENSMUSG00000015305"
"1488","ENSMUST00000015456","ENSMUSG00000015312","Gadd45b","10","protein_coding",80930073,80932204,3,"Gadd45b","ENSMUSG00000015312"
"1489","ENSMUST00000015460","ENSMUSG00000015316","Slamf1","1","protein_coding",171767127,171801184,2,"Slamf1","ENSMUSG00000015316"
"1490","ENSMUST00000148717","ENSMUSG00000015335","Zdhhc12","2","processed_transcript",30090944,30093019,4,"Zdhhc12","ENSMUSG00000015335"
"1491","ENSMUST00000015481","ENSMUSG00000015337","Endog","2","protein_coding",30171493,30174069,1,"Endog","ENSMUSG00000015337"
"1492","ENSMUST00000015484","ENSMUSG00000015340","Cybb","X","protein_coding",9435252,9469324,5,"Cybb","ENSMUSG00000015340"
"1493","ENSMUST00000051094","ENSMUSG00000015341","Golga7","8","protein_coding",23241346,23257074,4,"Golga7","ENSMUSG00000015341"
"1494","ENSMUST00000015486","ENSMUSG00000015342","Xk","X","protein_coding",9272756,9313250,1,"Xk","ENSMUSG00000015342"
"1495","ENSMUST00000015498","ENSMUSG00000015354","Pcolce2","9","protein_coding",95637601,95698096,2,"Pcolce2","ENSMUSG00000015354"
"1496","ENSMUST00000015499","ENSMUSG00000015355","Cd48","1","protein_coding",171682009,171705258,2,"Cd48","ENSMUSG00000015355"
"1497","ENSMUST00000015501","ENSMUSG00000015357","Clpx","9","protein_coding",65294260,65330657,4,"Clpx","ENSMUSG00000015357"
"1498","ENSMUST00000168863","ENSMUSG00000015363","Trabd","15","protein_coding",89075124,89085309,7,"Trabd","ENSMUSG00000015363"
"1499","ENSMUST00000156949","ENSMUSG00000015365","Mov10l1","15","retained_intron",88982909,88995071,5,"Mov10l1","ENSMUSG00000015365"
"1500","ENSMUST00000078953","ENSMUSG00000015377","Dennd6b","15","protein_coding",89182217,89196474,1,"Dennd6b","ENSMUSG00000015377"
"1501","ENSMUST00000015540","ENSMUSG00000015396","Cd83","13","protein_coding",43784775,43803132,2,"Cd83","ENSMUSG00000015396"
"1502","ENSMUST00000112280","ENSMUSG00000015401","Tmem27","X","protein_coding",164088830,164118860,3,"Tmem27","ENSMUSG00000015401"
"1503","ENSMUST00000112271","ENSMUSG00000015405","Ace2","X","protein_coding",164139332,164188420,3,"Ace2","ENSMUSG00000015405"
"1504","ENSMUST00000015581","ENSMUSG00000015437","Gzmb","14","protein_coding",56258838,56262260,1,"Gzmb","ENSMUSG00000015437"
"1505","ENSMUST00000015587","ENSMUSG00000015443","Gzmn","14","protein_coding",56165797,56174599,2,"Gzmn","ENSMUSG00000015443"
"1506","ENSMUST00000160657","ENSMUSG00000015451","C4a","17","retained_intron",34809092,34809754,10,"C4a","ENSMUSG00000015451"
"1507","ENSMUST00000015596","ENSMUSG00000015452","Ager","17","protein_coding",34597862,34600932,13,"Ager","ENSMUSG00000015452"
"1508","ENSMUST00000015605","ENSMUSG00000015461","Atf6b","17","protein_coding",34647146,34655074,5,"Atf6b","ENSMUSG00000015461"
"1509","ENSMUST00000170850","ENSMUSG00000015467","Egfl8","17","retained_intron",34613349,34615320,6,"Egfl8","ENSMUSG00000015467"
"1510","ENSMUST00000015612","ENSMUSG00000015468","Notch4","17","protein_coding",34564268,34588503,12,"Notch4","ENSMUSG00000015468"
"1511","ENSMUST00000171121","ENSMUSG00000015474","Ppt2","17","protein_coding",34616662,34627435,10,"Ppt2","ENSMUSG00000015474"
"1512","ENSMUST00000015620","ENSMUSG00000015476","Prrt1","17","protein_coding",34629533,34633126,2,"Prrt1","ENSMUSG00000015476"
"1513","ENSMUST00000015622","ENSMUSG00000015478","Rnf5","17","protein_coding",34601091,34603690,3,"Rnf5","ENSMUSG00000015478"
"1514","ENSMUST00000015628","ENSMUSG00000015484","Fam163a","1","protein_coding",156075966,156205026,1,"Fam163a","ENSMUSG00000015484"
"1515","ENSMUST00000114005","ENSMUSG00000015488","Cacfd1","2","protein_coding",27009926,27016849,8,"Cacfd1","ENSMUSG00000015488"
"1516","ENSMUST00000187083","ENSMUSG00000015501","Hivep2","10","protein_coding",13966075,14150589,6,"Hivep2","ENSMUSG00000015501"
"1517","ENSMUST00000147765","ENSMUSG00000015522","Arnt","3","retained_intron",95434388,95491622,11,"Arnt","ENSMUSG00000015522"
"1518","ENSMUST00000056117","ENSMUSG00000015533","Itga2","13","protein_coding",114833081,114932100,2,"Itga2","ENSMUSG00000015533"
"1519","ENSMUST00000166104","ENSMUSG00000015536","Mocs2","13","protein_coding",114818236,114828723,17,"Mocs2","ENSMUSG00000015536"
"1520","ENSMUST00000103040","ENSMUSG00000015542","Nat9","11","protein_coding",115182832,115187390,9,"Nat9","ENSMUSG00000015542"
"1521","ENSMUST00000015712","ENSMUSG00000015568","Lpl","8","protein_coding",68880491,68906934,5,"Lpl","ENSMUSG00000015568"
"1522","ENSMUST00000015719","ENSMUSG00000015575","Atp6v0e","17","protein_coding",26676396,26699644,2,"Atp6v0e","ENSMUSG00000015575"
"1523","ENSMUST00000015723","ENSMUSG00000015579","Nkx2-5","17","protein_coding",26838664,26841565,1,"Nkx2-5","ENSMUSG00000015579"
"1524","ENSMUST00000113481","ENSMUSG00000015597","Zfp318","17","protein_coding",46383731,46414814,5,"Zfp318","ENSMUSG00000015597"
"1525","ENSMUST00000047034","ENSMUSG00000015599","Ttbk1","17","protein_coding",46442448,46487675,3,"Ttbk1","ENSMUSG00000015599"
"1526","ENSMUST00000015749","ENSMUSG00000015605","Srf","17","protein_coding",46546839,46556162,1,"Srf","ENSMUSG00000015605"
"1527","ENSMUST00000102976","ENSMUSG00000015619","Gata3","2","protein_coding",9857078,9878600,6,"Gata3","ENSMUSG00000015619"
"1528","ENSMUST00000130796","ENSMUSG00000015647","Lama5","2","processed_transcript",180176373,180179643,4,"Lama5","ENSMUSG00000015647"
"1529","ENSMUST00000015796","ENSMUSG00000015652","Steap1","5","protein_coding",5736317,5749326,2,"Steap1","ENSMUSG00000015652"
"1530","ENSMUST00000115426","ENSMUSG00000015653","Steap2","5","protein_coding",5664829,5694578,9,"Steap2","ENSMUSG00000015653"
"1531","ENSMUST00000015800","ENSMUSG00000015656","Hspa8","9","protein_coding",40800984,40805200,10,"Hspa8","ENSMUSG00000015656"
"1532","ENSMUST00000097432","ENSMUSG00000015659","Serac1","17","protein_coding",6042196,6079741,5,"Serac1","ENSMUSG00000015659"
"1533","ENSMUST00000096361","ENSMUSG00000015665","Awat1","X","protein_coding",100572251,100578205,1,"Awat1","ENSMUSG00000015665"
"1534","ENSMUST00000144643","ENSMUSG00000015668","Pdzd11","X","retained_intron",100622883,100625938,4,"Pdzd11","ENSMUSG00000015668"
"1535","ENSMUST00000170836","ENSMUSG00000015671","Psma2","13","protein_coding",14613240,14627636,2,"Psma2","ENSMUSG00000015671"
"1536","ENSMUST00000220621","ENSMUSG00000015672","Mrpl32","13","protein_coding",14608184,14613165,4,"Mrpl32","ENSMUSG00000015672"
"1537","ENSMUST00000124638","ENSMUSG00000015697","Setdb1","3","retained_intron",95323525,95357155,6,"Setdb1","ENSMUSG00000015697"
"1538","ENSMUST00000107183","ENSMUSG00000015702","Anxa9","3","protein_coding",95296096,95306804,4,"Anxa9","ENSMUSG00000015702"
"1539","ENSMUST00000085077","ENSMUSG00000015709","Arnt2","7","protein_coding",84246278,84410119,13,"Arnt2","ENSMUSG00000015709"
"1540","ENSMUST00000015855","ENSMUSG00000015711","Prune1","3","protein_coding",95253674,95282076,2,"Prune1","ENSMUSG00000015711"
"1541","ENSMUST00000129267","ENSMUSG00000015714","Cers2","3","protein_coding",95314791,95321880,9,"Cers2","ENSMUSG00000015714"
"1542","ENSMUST00000086341","ENSMUSG00000015721","Nlrp5","7","protein_coding",23385889,23441921,6,"Nlrp5","ENSMUSG00000015721"
"1543","ENSMUST00000148694","ENSMUSG00000015733","Capza2","6","processed_transcript",17636234,17656447,7,"Capza2","ENSMUSG00000015733"
"1544","ENSMUST00000015889","ENSMUSG00000015745","Plekho1","3","protein_coding",95988429,95996001,5,"Plekho1","ENSMUSG00000015745"
"1545","ENSMUST00000015891","ENSMUSG00000015747","Vps45","3","protein_coding",95999832,96058466,3,"Vps45","ENSMUSG00000015747"
"1546","ENSMUST00000015892","ENSMUSG00000015748","Prpf3","3","protein_coding",95830124,95855885,9,"Prpf3","ENSMUSG00000015748"
"1547","ENSMUST00000165307","ENSMUSG00000015749","Anp32e","3","protein_coding",95929246,95947390,10,"Anp32e","ENSMUSG00000015749"
"1548","ENSMUST00000015894","ENSMUSG00000015750","Aph1a","3","protein_coding",95893969,95898288,4,"Aph1a","ENSMUSG00000015750"
"1549","ENSMUST00000130322","ENSMUSG00000015755","Tab2","10","protein_coding",7919340,7924260,5,"Tab2","ENSMUSG00000015755"
"1550","ENSMUST00000015901","ENSMUSG00000015757","Ppil4","10","protein_coding",7792891,7823135,4,"Ppil4","ENSMUSG00000015757"
"1551","ENSMUST00000015903","ENSMUSG00000015759","Cnih1","14","protein_coding",46775567,46788411,3,"Cnih1","ENSMUSG00000015759"
"1552","ENSMUST00000058210","ENSMUSG00000015766","Eps8","6","protein_coding",137477245,137649285,13,"Eps8","ENSMUSG00000015766"
"1553","ENSMUST00000102899","ENSMUSG00000015776","Med22","2","protein_coding",26905262,26910677,3,"Med22","ENSMUSG00000015776"
"1554","ENSMUST00000114045","ENSMUSG00000015787","Abo","2","protein_coding",26842503,26856798,2,"Abo","ENSMUSG00000015787"
"1555","ENSMUST00000142967","ENSMUSG00000015790","Surf1","2","retained_intron",26913381,26914759,10,"Surf1","ENSMUSG00000015790"
"1556","ENSMUST00000156481","ENSMUSG00000015804","Med28","5","protein_coding",45520229,45529276,5,"Med28","ENSMUSG00000015804"
"1557","ENSMUST00000198258","ENSMUSG00000015806","Qdpr","5","protein_coding",45434021,45450176,10,"Qdpr","ENSMUSG00000015806"
"1558","ENSMUST00000223929","ENSMUSG00000015812","Gnrh1","14","protein_coding",67745181,67749436,3,"Gnrh1","ENSMUSG00000015812"
"1559","ENSMUST00000192069","ENSMUSG00000015829","Tnr","1","protein_coding",159523769,159931729,5,"Tnr","ENSMUSG00000015829"
"1560","ENSMUST00000015981","ENSMUSG00000015837","Sqstm1","11","protein_coding",50199366,50210791,7,"Sqstm1","ENSMUSG00000015837"
"1561","ENSMUST00000102672","ENSMUSG00000015839","Nfe2l2","2","protein_coding",75675513,75704641,2,"Nfe2l2","ENSMUSG00000015839"
"1562","ENSMUST00000015987","ENSMUSG00000015843","Rxrg","1","protein_coding",167598384,167639623,4,"Rxrg","ENSMUSG00000015843"
"1563","ENSMUST00000129514","ENSMUSG00000015846","Rxra","2","protein_coding",27676440,27741898,6,"Rxra","ENSMUSG00000015846"
"1564","ENSMUST00000117782","ENSMUSG00000015850","Adamtsl4","3","protein_coding",95676201,95687917,5,"Adamtsl4","ENSMUSG00000015850"
"1565","ENSMUST00000090986","ENSMUSG00000015852","Fcrls","3","protein_coding",87250758,87263599,2,"Fcrls","ENSMUSG00000015852"
"1566","ENSMUST00000152874","ENSMUSG00000015869","Prpsap1","11","processed_transcript",116470845,116490314,9,"Prpsap1","ENSMUSG00000015869"
"1567","ENSMUST00000198680","ENSMUSG00000015879","Fam184b","5","retained_intron",45529705,45536542,2,"Fam184b","ENSMUSG00000015879"
"1568","ENSMUST00000117396","ENSMUSG00000015880","Ncapg","5","protein_coding",45669919,45700546,6,"Ncapg","ENSMUSG00000015880"
"1569","ENSMUST00000045586","ENSMUSG00000015882","Lcorl","5","protein_coding",45697181,45857615,12,"Lcorl","ENSMUSG00000015882"
"1570","ENSMUST00000016033","ENSMUSG00000015889","Lta4h","10","protein_coding",93453411,93484874,8,"Lta4h","ENSMUSG00000015889"
"1571","ENSMUST00000016034","ENSMUSG00000015890","Amdhd1","10","protein_coding",93523338,93540033,1,"Amdhd1","ENSMUSG00000015890"
"1572","ENSMUST00000103172","ENSMUSG00000015932","Dstn","2","protein_coding",143915320,143943324,1,"Dstn","ENSMUSG00000015932"
"1573","ENSMUST00000016081","ENSMUSG00000015937","H2afy","13","protein_coding",56073619,56135631,8,"H2afy","ENSMUSG00000015937"
"1574","ENSMUST00000123941","ENSMUSG00000015942","Gtf2ird2","5","nonsense_mediated_decay",134184019,134224355,6,"Gtf2ird2","ENSMUSG00000015942"
"1575","ENSMUST00000107099","ENSMUSG00000015943","Bola1","3","protein_coding",96196588,96198489,3,"Bola1","ENSMUSG00000015943"
"1576","ENSMUST00000016088","ENSMUSG00000015944","Gatsl2","5","protein_coding",134099711,134144343,3,"Gatsl2","ENSMUSG00000015944"
"1577","ENSMUST00000029748","ENSMUSG00000015947","Fcgr1","3","protein_coding",96282909,96293969,2,"Fcgr1","ENSMUSG00000015947"
"1578","ENSMUST00000146354","ENSMUSG00000015950","Ncf1","5","nonsense_mediated_decay",134220053,134229625,7,"Ncf1","ENSMUSG00000015950"
"1579","ENSMUST00000165122","ENSMUSG00000015957","Wnt11","7","protein_coding",98835112,98846587,6,"Wnt11","ENSMUSG00000015957"
"1580","ENSMUST00000016105","ENSMUSG00000015961","Adss","1","protein_coding",177762962,177796511,3,"Adss","ENSMUSG00000015961"
"1581","ENSMUST00000122205","ENSMUSG00000015966","Il17rb","14","protein_coding",29996135,30008896,6,"Il17rb","ENSMUSG00000015966"
"1582","ENSMUST00000225717","ENSMUSG00000015968","Cacna1d","14","retained_intron",30039939,30082758,12,"Cacna1d","ENSMUSG00000015968"
"1583","ENSMUST00000067620","ENSMUSG00000015970","Chdh","14","protein_coding",30009023,30040527,3,"Chdh","ENSMUSG00000015970"
"1584","ENSMUST00000016115","ENSMUSG00000015971","Actr8","14","protein_coding",29978337,29993219,9,"Actr8","ENSMUSG00000015971"
"1585","ENSMUST00000016124","ENSMUSG00000015980","Lrrc27","7","protein_coding",139212988,139242979,9,"Lrrc27","ENSMUSG00000015980"
"1586","ENSMUST00000016125","ENSMUSG00000015981","Stk32c","7","protein_coding",139103638,139188517,2,"Stk32c","ENSMUSG00000015981"
"1587","ENSMUST00000016138","ENSMUSG00000015994","Fnta","8","protein_coding",25998722,26015650,5,"Fnta","ENSMUSG00000015994"
"1588","ENSMUST00000022281","ENSMUSG00000016018","Skiv2l2","13","protein_coding",112867418,112927398,6,"Skiv2l2","ENSMUSG00000016018"
"1589","ENSMUST00000109491","ENSMUSG00000016024","Lbp","2","protein_coding",158306493,158310506,5,"Lbp","ENSMUSG00000016024"
"1590","ENSMUST00000016172","ENSMUSG00000016028","Celsr1","15","protein_coding",85898929,86033777,4,"Celsr1","ENSMUSG00000016028"
"1591","ENSMUST00000016231","ENSMUSG00000016087","Fli1","9","protein_coding",32422204,32541595,2,"Fli1","ENSMUSG00000016087"
"1592","ENSMUST00000110483","ENSMUSG00000016128","Stard13","5","protein_coding",151037510,151190269,10,"Stard13","ENSMUSG00000016128"
"1593","ENSMUST00000126161","ENSMUSG00000016150","Tenm1","X","retained_intron",42897135,43429126,6,"Tenm1","ENSMUSG00000016150"
"1594","ENSMUST00000169907","ENSMUSG00000016179","Camk1g","1","protein_coding",193346346,193370225,4,"Camk1g","ENSMUSG00000016179"
"1595","ENSMUST00000194412","ENSMUSG00000016181","Diexf","1","protein_coding",193091104,193114675,9,"Diexf","ENSMUSG00000016181"
"1596","ENSMUST00000016338","ENSMUSG00000016194","Hsd11b1","1","protein_coding",193221634,193242629,7,"Hsd11b1","ENSMUSG00000016194"
"1597","ENSMUST00000215093","ENSMUSG00000016200","Syt14","1","protein_coding",192891233,193035775,5,"Syt14","ENSMUSG00000016200"
"1598","ENSMUST00000135758","ENSMUSG00000016239","Lonrf3","X","retained_intron",36328353,36342611,3,"Lonrf3","ENSMUSG00000016239"
"1599","ENSMUST00000016396","ENSMUSG00000016252","Atp5e","2","protein_coding",174461072,174464105,3,"Atp5e","ENSMUSG00000016252"
"1600","ENSMUST00000109075","ENSMUSG00000016253","Nelfcd","2","protein_coding",174415804,174427502,6,"Nelfcd","ENSMUSG00000016253"
"1601","ENSMUST00000016399","ENSMUSG00000016255","Tubb1","2","protein_coding",174450695,174457882,1,"Tubb1","ENSMUSG00000016255"
"1602","ENSMUST00000016400","ENSMUSG00000016256","Ctsz","2","protein_coding",174427493,174439039,1,"Ctsz","ENSMUSG00000016256"
"1603","ENSMUST00000016401","ENSMUSG00000016257","Prelid3b","2","protein_coding",174465067,174473081,5,"Prelid3b","ENSMUSG00000016257"
"1604","ENSMUST00000155579","ENSMUSG00000016262","Sertad4","1","protein_coding",192844488,192855756,4,"Sertad4","ENSMUSG00000016262"
"1605","ENSMUST00000201012","ENSMUSG00000016308","Ube2a","X","processed_transcript",36873900,36874471,9,"Ube2a","ENSMUSG00000016308"
"1606","ENSMUST00000016463","ENSMUSG00000016319","Slc25a5","X","protein_coding",36795651,36798807,3,"Slc25a5","ENSMUSG00000016319"
"1607","ENSMUST00000016471","ENSMUSG00000016327","Atp1b4","X","protein_coding",38316184,38336769,2,"Atp1b4","ENSMUSG00000016327"
"1608","ENSMUST00000016488","ENSMUSG00000016344","Ppdpf","2","protein_coding",181187247,181188771,6,"Ppdpf","ENSMUSG00000016344"
"1609","ENSMUST00000149964","ENSMUSG00000016346","Kcnq2","2","protein_coding",181075579,181135214,21,"Kcnq2","ENSMUSG00000016346"
"1610","ENSMUST00000055990","ENSMUSG00000016349","Eef1a2","2","protein_coding",181147653,181157014,1,"Eef1a2","ENSMUSG00000016349"
"1611","ENSMUST00000149179","ENSMUSG00000016356","Col20a1","2","protein_coding",180986535,181016328,5,"Col20a1","ENSMUSG00000016356"
"1612","ENSMUST00000114059","ENSMUSG00000016382","Pls3","X","protein_coding",75785654,75875182,6,"Pls3","ENSMUSG00000016382"
"1613","ENSMUST00000111063","ENSMUSG00000016386","Mpped2","2","protein_coding",106693269,106868356,6,"Mpped2","ENSMUSG00000016386"
"1614","ENSMUST00000016553","ENSMUSG00000016409","Nkap","X","protein_coding",37126795,37150746,2,"Nkap","ENSMUSG00000016409"
"1615","ENSMUST00000016571","ENSMUSG00000016427","Ndufa1","X","protein_coding",37187588,37191163,1,"Ndufa1","ENSMUSG00000016427"
"1616","ENSMUST00000143043","ENSMUSG00000016458","Wt1","2","protein_coding",105126529,105173612,9,"Wt1","ENSMUSG00000016458"
"1617","ENSMUST00000221536","ENSMUSG00000016477","E2f3","13","protein_coding",29906575,29984391,4,"E2f3","ENSMUSG00000016477"
"1618","ENSMUST00000193094","ENSMUSG00000016481","Cr1l","1","protein_coding",195097382,195131344,10,"Cr1l","ENSMUSG00000016481"
"1619","ENSMUST00000133825","ENSMUSG00000016487","Ppfibp1","6","retained_intron",147001694,147005995,12,"Ppfibp1","ENSMUSG00000016487"
"1620","ENSMUST00000162650","ENSMUSG00000016493","Cd46","1","protein_coding",195036826,195092249,4,"Cd46","ENSMUSG00000016493"
"1621","ENSMUST00000016638","ENSMUSG00000016494","Cd34","1","protein_coding",194938819,194961279,5,"Cd34","ENSMUSG00000016494"
"1622","ENSMUST00000143467","ENSMUSG00000016495","Plgrkt","19","protein_coding",29348599,29361970,10,"Plgrkt","ENSMUSG00000016495"
"1623","ENSMUST00000146511","ENSMUSG00000016503","Gtf3a","5","protein_coding",146948657,146955614,4,"Gtf3a","ENSMUSG00000016503"
"1624","ENSMUST00000066675","ENSMUSG00000016510","Mtif3","5","protein_coding",146951573,146963785,6,"Mtif3","ENSMUSG00000016510"
"1625","ENSMUST00000016664","ENSMUSG00000016520","Lnx2","5","protein_coding",147016655,147076586,2,"Lnx2","ENSMUSG00000016520"
"1626","ENSMUST00000187410","ENSMUSG00000016524","Il19","1","protein_coding",130932656,130940101,4,"Il19","ENSMUSG00000016524"
"1627","ENSMUST00000016670","ENSMUSG00000016526","Dyrk3","1","protein_coding",131127455,131138340,2,"Dyrk3","ENSMUSG00000016526"
"1628","ENSMUST00000016672","ENSMUSG00000016528","Mapkapk2","1","protein_coding",131053700,131097826,2,"Mapkapk2","ENSMUSG00000016528"
"1629","ENSMUST00000074913","ENSMUSG00000016534","Lamp2","X","protein_coding",38401357,38456454,5,"Lamp2","ENSMUSG00000016534"
"1630","ENSMUST00000163242","ENSMUSG00000016541","Atxn10","15","protein_coding",85336381,85463836,1,"Atxn10","ENSMUSG00000016541"
"1631","ENSMUST00000016696","ENSMUSG00000016552","Foxred2","15","protein_coding",77940522,77956722,4,"Foxred2","ENSMUSG00000016552"
"1632","ENSMUST00000100484","ENSMUSG00000016554","Eif3d","15","protein_coding",77958998,77970824,1,"Eif3d","ENSMUSG00000016554"
"1633","ENSMUST00000106454","ENSMUSG00000016559","H3f3b","11","protein_coding",116021912,116027962,4,"H3f3b","ENSMUSG00000016559"
"1634","ENSMUST00000165443","ENSMUSG00000016619","Nup50","15","protein_coding",84923428,84942955,1,"Nup50","ENSMUSG00000016619"
"1635","ENSMUST00000016768","ENSMUSG00000016624","Phf21b","15","protein_coding",84785381,84855110,6,"Phf21b","ENSMUSG00000016624"
"1636","ENSMUST00000084763","ENSMUSG00000016626","Nlrp14","7","protein_coding",107166990,107198093,2,"Nlrp14","ENSMUSG00000016626"
"1637","ENSMUST00000016781","ENSMUSG00000016637","Ift27","15","protein_coding",78159465,78174108,1,"Ift27","ENSMUSG00000016637"
"1638","ENSMUST00000171436","ENSMUSG00000016664","Pacsin2","15","protein_coding",83375607,83464606,3,"Pacsin2","ENSMUSG00000016664"
"1639","ENSMUST00000224953","ENSMUSG00000016756","Cmah","13","protein_coding",24327404,24468636,10,"Cmah","ENSMUSG00000016756"
"1640","ENSMUST00000136066","ENSMUSG00000016757","Ttll12","15","nonsense_mediated_decay",83575119,83595157,3,"Ttll12","ENSMUSG00000016757"
"1641","ENSMUST00000016902","ENSMUSG00000016758","Bik","15","protein_coding",83526862,83544635,1,"Bik","ENSMUSG00000016758"
"1642","ENSMUST00000144773","ENSMUSG00000016763","Scube1","15","retained_intron",83604999,83725021,5,"Scube1","ENSMUSG00000016763"
"1643","ENSMUST00000022766","ENSMUSG00000016831","Tox4","14","protein_coding",52279146,52296401,5,"Tox4","ENSMUSG00000016831"
"1644","ENSMUST00000016977","ENSMUSG00000016833","Mrps18c","5","protein_coding",100798627,100804471,6,"Mrps18c","ENSMUSG00000016833"
"1645","ENSMUST00000177608","ENSMUSG00000016918","Sulf1","1","protein_coding",12692277,12861192,10,"Sulf1","ENSMUSG00000016918"
"1646","ENSMUST00000193611","ENSMUSG00000016921","Srsf6","2","retained_intron",162931528,162935208,4,"Srsf6","ENSMUSG00000016921"
"1647","ENSMUST00000151590","ENSMUSG00000016933","Plcg1","2","nonsense_mediated_decay",160731300,160762502,12,"Plcg1","ENSMUSG00000016933"
"1648","ENSMUST00000103035","ENSMUSG00000016940","Kctd2","11","protein_coding",115420128,115431274,5,"Kctd2","ENSMUSG00000016940"
"1649","ENSMUST00000017090","ENSMUSG00000016946","Kctd5","17","protein_coding",24047734,24073485,2,"Kctd5","ENSMUSG00000016946"
"1650","ENSMUST00000076661","ENSMUSG00000016984","Etaa1","11","protein_coding",17938756,17953875,1,"Etaa1","ENSMUSG00000016984"
"1651","ENSMUST00000109359","ENSMUSG00000016995","Matn4","2","protein_coding",164389393,164404612,5,"Matn4","ENSMUSG00000016995"
"1652","ENSMUST00000137427","ENSMUSG00000017007","Rbpjl","2","retained_intron",164403141,164414791,3,"Rbpjl","ENSMUSG00000017007"
"1653","ENSMUST00000017153","ENSMUSG00000017009","Sdc4","2","protein_coding",164424247,164443186,2,"Sdc4","ENSMUSG00000017009"
"1654","ENSMUST00000033418","ENSMUSG00000017057","Il13ra1","X","protein_coding",36112110,36171259,1,"Il13ra1","ENSMUSG00000017057"
"1655","ENSMUST00000103099","ENSMUSG00000017119","Nbr1","11","protein_coding",101552149,101581951,21,"Nbr1","ENSMUSG00000017119"
"1656","ENSMUST00000017276","ENSMUSG00000017132","Cyth1","11","protein_coding",118164175,118248560,7,"Cyth1","ENSMUSG00000017132"
